Latitude: 40.85746, Longitude: -73.86339

Latitude: 40.84754, Longitude: -73.84657

Latitude: 40.83399, Longitude: -73.92512

Latitude: 40.85251, Longitude: -73.85052

Latitude: 40.85594, Longitude: -73.83881

Latitude: 40.86871, Longitude: -73.83454

Latitude: 40.89649, Longitude: -73.85695

Latitude: 40.83555, Longitude: -73.86655

Latitude: 40.85726, Longitude: -73.78951

Latitude: 40.81465, Longitude: -73.81808

Latitude: 40.85924, Longitude: -73.8495

Latitude: 40.8436, Longitude: -73.89071

Latitude: 40.88395, Longitude: -73.89777

Latitude: 40.90215, Longitude: -73.84649

Latitude: 40.82155, Longitude: -73.89805

Latitude: 40.82573, Longitude: -73.9252

Latitude: 40.89044, Longitude: -73.85592

Latitude: 40.89014, Longitude: -73.85801

Latitude: 40.88986, Longitude: -73.85775

Latitude: 40.86272, Longitude: -73.84563

Latitude: 40.84106, Longitude: -73.92465

Latitude: 40.83442, Longitude: -73.91494

Latitude: 40.85477, Longitude: -73.78871

Latitude: 40.82048, Longitude: -73.91592

Latitude: 40.87979, Longitude: -73.9056

Latitude: 40.81513, Longitude: -73.91602

Latitude: 40.85569, Longitude: -73.90818

Latitude: 40.85988, Longitude: -73.90284

Latitude: 40.89025, Longitude: -73.85802

